"DECL","PERIOD","PRCCODE","PRCCODE_LABEL","INDICATORS","Value","Flag and Footnotes"
"Slovakia","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL",":",""
"Hungary","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","10,394,597",""
"Romania","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","13,420,270",""
"Bulgaria","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","535,842",""
"Slovenia","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","8,272,549",""
"Croatia","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","3,413,594",""
"EU25TOTALS","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","1,601,101,325",""
"EU27TOTALS","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","1,615,057,437",""
"Cyprus","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","0",""
"France","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL","66,228,782",""
